地區,大廈名單,最後個案居住日期,相關疑似/確診個案
深水埗,鴻裕大廈B座,,1263
九龍城,榮光街 86號,,1263
觀塘,坪石邨玉石樓,,1269
油尖旺,Grand Austin 2座,,1276
北區,御林皇府,,1276
油尖旺,福祥樓,,1283
葵青,荃灣帝盛酒店,,內地當局通報的9宗個案
觀塘,安達邨禮達樓,,1289
黃大仙,彩輝邨彩華樓,,1291
沙田,禾輋邨德和樓,,1292
沙田,禾輋邨美和樓,,1293
沙田,水泉澳邨明泉樓,,1294
黃大仙,彩輝邨彩華樓,,1295
屯門,兆隆苑,,1296
油尖旺,橡樹街39A號櫻桃大廈,,1297
油尖旺,凱帆軒第3座,,1297
黃大仙,蒲明里6、8、10、12號及蒲惠里11號,,1298
葵青,荃灣帝盛酒店,,1299
葵青,荃灣帝盛酒店,,1300
黃大仙,竹園南邨麗園樓,,1301
黃大仙,蒲明里6、8、10、12號及蒲惠里11號,,1302
黃大仙,彩輝邨彩華樓,,1304
觀塘,坪石邨玉石樓,,1305
黃大仙,慈正邨正遠樓,,1306
黃大仙,蒲明里6、8、10、12號及蒲惠里11號,,1307
葵青,荃灣帝盛酒店,,1309
黃大仙,慈華里5號,,1310
黃大仙,萬年戲院大廈,,1311
黃大仙,高美樓A座,,1312
荃灣,灣景花園1座,,1313
油尖旺,海富苑海韻閣,,1314
黃大仙,鳳德邨碧鳳樓,,1315
黃大仙,蒲明里6、8、10、12號及蒲惠里11號,,1316
葵青,葵盛西村10座,,1317
灣仔,禮頓山3座,,1319
荃灣,悅來酒店,,1320
觀塘,彩福邨彩歡樓,,1321
黃大仙,彩輝邨彩華樓,,1322
黃大仙,蒲明里6、8、10、12號及蒲惠里11號,,1323
葵青,葵芳邨葵喜樓,,1324
灣仔,香港銅鑼灣皇冠假日酒店,,1325
灣仔,香港銅鑼灣皇冠假日酒店,,1326
觀塘,順安邨安頌樓,,1329
黃大仙,鳳德邨碧鳳樓,,1331
黃大仙,鳳德邨碧鳳樓,,1332
離島,藍天海岸影岸.紅A座,,1333
黃大仙,蒲明里6、8、10、12號及蒲惠里11號,,1334
黃大仙,蒲明里6、8、10、12號及蒲惠里11號,,1335
黃大仙,蒲明里6、8、10、12號及蒲惠里11號,,1336
黃大仙,蒲明里6、8、10、12號及蒲惠里11號,,1337
黃大仙,蒲明里6、8、10、12號及蒲惠里11號,,1338
黃大仙,蒲明里6、8、10、12號及蒲惠里11號,,1339
黃大仙,蒲明里6、8、10、12號及蒲惠里11號,,1340
黃大仙,蒲明里6、8、10、12號及蒲惠里11號,,1341
黃大仙,蒲明里6、8、10、12號及蒲惠里11號,,1342
黃大仙,蒲明里6、8、10、12號及蒲惠里11號,,1343
黃大仙,蒲明里6、8、10、12號及蒲惠里11號,,1344
黃大仙,蒲明里6、8、10、12號及蒲惠里11號,,1345
黃大仙,蒲明里6、8、10、12號及蒲惠里11號,,1346
黃大仙,蒲明里6、8、10、12號及蒲惠里11號,,1347
黃大仙,蒲明里6、8、10、12號及蒲惠里11號,,1348
黃大仙,蒲明里6、8、10、12號及蒲惠里11號,,1349
黃大仙,蒲明里6、8、10、12號及蒲惠里11號,,1350
黃大仙,蒲明里6、8、10、12號及蒲惠里11號,,1351
黃大仙,蒲明里6、8、10、12號及蒲惠里11號,,1352
黃大仙,蒲明里6、8、10、12號及蒲惠里11號,,1353
黃大仙,蒲明里6、8、10、12號及蒲惠里11號,,1354
西貢,善明邨善智樓,,1356
黃大仙,慈正邨正暉樓,,1357
黃大仙,慈正邨正暉樓,,1358
黃大仙,慈正邨正暉樓,,1359
黃大仙,蒲明里6、8、10、12號及蒲惠里11號,,1360
黃大仙,彩輝邨彩華樓,,1361
灣仔,香港銅鑼灣皇冠假日酒店,,1362
油尖旺,海富苑海韻閣,,1364
黃大仙,慈安苑安康閣,,1365
元朗,水蕉新村,,1366
九龍城,土瓜灣立基大廈,,1368
黃大仙,彩輝邨彩華樓,,1371
沙田,禾輋邨美和樓,,1372
黃大仙,彩輝邨彩華樓,,1374
西貢,天晉一期7座,,1375
觀塘,安達邨孝達樓,,1376
沙田,水泉澳邨明泉樓,,1377
沙田,水泉澳邨明泉樓,,1378
沙田,水泉澳邨明泉樓,,1379
沙田,水泉澳邨明泉樓,,1380
沙田,水泉澳邨明泉樓,,1381
沙田,水泉澳邨明泉樓,,1382
沙田,水泉澳邨明泉樓,,1383
沙田,水泉澳邨明泉樓,,1384
沙田,水泉澳邨明泉樓,,1385
沙田,水泉澳邨明泉樓,,1386
沙田,水泉澳邨明泉樓,,1387
黃大仙,彩輝邨彩華樓,,1388
黃大仙,彩輝邨彩華樓,,1389
西貢,"日出康城, 晉海",,1390
屯門,山景邨景美樓,,1391
荃灣,悅來酒店,,1392
黃大仙,慈安苑安康閣,,1393
黃大仙,威豪花園第一座,,1394
黃大仙,蒲明里6、8、10、12號及蒲惠里11號,,1395
觀塘,油塘鯉魚門邨鯉意樓,,1396
黃大仙,彩雲邨星晨樓,,1397
黃大仙,彩輝邨彩華樓,,1398
九龍城,土瓜灣立基大廈,,1400
黃大仙,彩輝邨彩華樓,,1401
屯門,山景邨景美樓,,1402
西貢,健明邨明星樓,,1404
黃大仙,萬年戲院大廈,,1407
黃大仙,高美樓A座,,1408
沙田,禾輋邨德和樓,,1409
黃大仙,慈樂邨樂仁樓,,1410
觀塘,坪石邨紅石樓,,1414
黃大仙,竹園南邨華園樓,,1415
黃大仙,彩輝邨彩華樓,,1416
油尖旺,香港喜來登酒店,,1419
黃大仙,慈正邨正康樓,,1424
黃大仙,慈正邨正康樓,,1425
九龍城,嶺南大廈,,1426
屯門,龍門居7座,,1427
元朗,康德閣,,1428
西貢,天晉一期3座,,1429
黃大仙,萬年戲院大廈,,1430
元朗,嘉湖山莊樂湖居10座,,1431
屯門,湖景邨湖光樓,,1432
西貢,將軍澳廣場8座,,1433
深水埗,大南街183號,,1434
深水埗,南昌邨昌賢樓,,1435
葵青,葵聯邨聯悅樓,,1436
西貢,將軍澳廣場8座,,1437
北區,唐公嶺,,1438
觀塘,康華苑宏康閣A座,,1439
黃大仙,慈愛苑愛聰閣,,1440
屯門,寶田中轉房屋2座,,1442
西貢,寶琳邨寶勤樓,,1443
黃大仙,慈正邨正安樓,,1444
黃大仙,慈正邨正安樓,,1445
荃灣,灣景花園1座,,1446
東區,賽西湖大廈15座,,1447
灣仔,禮頓山3座,,1448
黃大仙,彩虹邨丹鳳樓,,1449
黃大仙,彩輝邨彩華樓,,1450
西貢,怡心園1座,,1453
葵青,荔景邨樂景樓,,1454
黃大仙,彩輝邨彩華樓,,1455
黃大仙,彩輝邨彩華樓,,1456
九龍城,德朗邨德瑞樓,,1457
黃大仙,彩輝邨彩華樓,,1458
觀塘,順安邨安頌樓,,1463
沙田,愉翠苑愉居閣,,1464
西貢,將軍澳廣場8座,,1465
西貢,將軍澳廣場8座,,1466
黃大仙,彩虹邨翠瓊樓,,1467
黃大仙,彩虹邨翠瓊樓,,1468
觀塘,觀塘帝盛酒店,,1469
灣仔,禮頓山3座,,1470
屯門,海慧花園,,1471
深水埗,巴域居,,1472
東區,東駿苑金駿閣,,1474
荃灣,祈德尊新邨A座,,1475
黃大仙,慈民邨民健樓,,1477
黃大仙,鳳德邨黛鳳樓,,1478
深水埗,寶麗苑寶康閣,,1479
西貢,頌明苑賢明閣,,1480
深水埗,麗翠苑麗柏閣,,1481
元朗,康德閣,,1482
油尖旺,文利大廈,,1483
觀塘,啟業邨啟樂樓,,1484
黃大仙,彩輝邨彩華樓,,1487
屯門,龍門居7座,,1490
黃大仙,鳳禮苑鳳禧閣,,1491
黃大仙,竹園邨鵬程苑,,1492
油尖旺,荔塘大廈B座,,1493
荃灣,悅來酒店,,1495
沙田,隆亨邨善心樓,,1497
九龍城,土瓜灣立基大廈,,1498
荃灣,悅來酒店,,1499
西貢,怡心園1座,,1501
沙田,愉田苑愉逸閣,,1506
黃大仙,新蒲崗爵祿街36號,,1507
黃大仙,新蒲崗爵祿街36號,,1508
黃大仙,慈樂邨樂信樓,,1509
黃大仙,嘉華大廈,,1510
九龍城,嶺南大廈,,1511
觀塘,翠屏(南)邨翠樂樓,,1512
深水埗,東廬大樓A座,,1513
黃大仙,慈正邨正遠樓,,1514
黃大仙,慈正邨正泰樓,,1515
油尖旺,荔塘大廈B座,,1516
黃大仙,慈民邨民健樓,,1517
東區,小西灣邨瑞發樓,,1518
黃大仙,慈正邨正怡樓,,1519
黃大仙,慈民邨民健樓,,1520
黃大仙,慈愛苑愛聰閣,,1521
黃大仙,慈愛苑愛聰閣,,1522
黃大仙,彩雲邨長波樓,,1523
灣仔,萬麗海景酒店,,1530
黃大仙,慈愛苑愛聰閣,,1531
黃大仙,慈樂邨樂歡樓,,1532
黃大仙,彩虹邨錦雲樓,,1533
觀塘,藍田邨藍暉樓,,1534
沙田,隆亨邨善心樓,,1536
黃大仙,慈樂邨樂信樓,,1537
黃大仙,慈樂邨樂信樓,,1538
黃大仙,慈樂邨樂誠樓,,1539
元朗,天盛苑盛彩閣,,1540
黃大仙,慈樂邨樂仁樓,,1541
深水埗,喜雅1座,,1542
葵青,石蔭東邨蔭裕樓,,1543
黃大仙,彩雲邨長波樓,,1544
深水埗,東廬大樓,,1545
屯門,寶田中轉房屋2座,,1546
觀塘,安泰邨和泰樓,,1547
觀塘,花園大廈畫眉樓,,1548
黃大仙,慈樂邨樂歡樓,,1549
東區,東駿苑金駿閣,,1550
黃大仙,慈正邨正怡樓,,1551
黃大仙,慈正邨正怡樓,,1552
黃大仙,富山邨富信樓,,1553
黃大仙,慈正邨正康樓,,1555
黃大仙,慈民邨民裕樓,,1556
深水埗,順景閣,,1557
西貢,相思灣村53號,,1558
西貢,璟瓏軒,,1559
黃大仙,蒲明里6、8、10、12號及蒲惠里11號,,1560
屯門,海慧花園1座,,1561
黃大仙,慈康邨康德樓,,1562
黃大仙,樂富邨樂民樓,,1563
黃大仙,慈民邨民裕樓,,1564
黃大仙,慈民邨民裕樓,,1565
黃大仙,慈民邨民裕樓,,1566
黃大仙,慈康邨康添樓,,1567
北區,綠悠軒5座,,1568
九龍城,寶成洋樓,,1569
觀塘,裕民中心3座,,1570
屯門,小欖村,,1571
黃大仙,慈康邨康健樓,,1572
葵青,長發邨亮發樓,,1573
