District,Building name,Last date of residence of the case(s),Related probable/confirmed cases
Tuen Mun,22 Siu Lam Tsuen,,1571
Wong Tai Sin,"Hong Kin House, Tsz Hong Estate",,1572
Kwai Tsing,"Leung Fat House, Cheung Fat Estate",,1573
Kwai Tsing,Dorsett Tsuen Wan,,1574
Yau Tsim Mong,The Kimberley Hotel,,1575
Islands,Marriott Hong Kong SkyCity,,1576
Kwun Tong,"Choi Foon House, Choi Fook Estate",,1578
Wong Tai Sin,"Ching Yuen House, Tsz Ching Estate",,1579
Sham Shui Po,Berwick Mansion,,1581
Tuen Mun,"Fung Yu House, Sam Shing Estate",,1582
Wong Tai Sin,"Toi Fung House, Fung Tak Estate",,1583
Sha Tin,Mei Pak Court,,1584
North,"Block 5, Belair Monte",,1585
Wong Tai Sin,"Lok Shing House, Tsz Lok Estate",,1586
Wong Tai Sin,"Hong Kin House, Tsz Hong Estate",,1587
Wong Tai Sin,"Hong Kin House, Tsz Hong Estate",,1588
Wong Tai Sin,"Man Yue House, Tsz Man Estate",,1589
Sai Kung,"Tower 3, Phase I, The Beaumount",,1590
Sai Kung,"Block 2, Radiant Towers",,1591
Sai Kung,"Block 5, Park Central",,1592
Sai Kung,"Tower 2B, The Wings Phase II",,1593
Sai Kung,"Shin Chi House, Shin Ming Estate",,1594
Kwun Tong,"Tat Yi House, Po Tat Estate",,1595
Sai Kung,"Tower 5, Phase II-A, LOHAS Park",,1596
Wong Tai Sin,"Tan Fung House, Choi Hung Estate",,1597
Wong Tai Sin,"Winfair Building, 8 Yuk Wah Crescent",,1598
Wong Tai Sin,"Ching Fai House, Tsz Ching Estate",,1599
Kwai Tsing,Dorsett Tsuen Wan,,1600
Wong Tai Sin,"Ching Yuen House, Tsz Ching Estate",,1601
Wong Tai Sin,"Kwai Tung House, Tung Tau Estate (II)",,1602
Wong Tai Sin,"On Yan House, Tsz On Court",,1603
Wong Tai Sin,"On Yan House, Tsz On Court",,1604
Wong Tai Sin,"Ching Wo House, Tsz Ching Estate",,1605
Wong Tai Sin,"Hong Tak House, Tsz Hong Estate",,1607
Sai Kung,53 Sheung Sze Wan,,1608
Sha Tin,"Foo Wo House, Wo Che Estate",,1610
Sham Shui Po,"Lai Kuk House, Lai Kok Estate",,1611
Wong Tai Sin,"Kam Wan House, Choi Hung Estate",,1612
Tuen Mun,"Leung Chun House, Leung King Estate",,1613
Sha Tin,"Yuet Chuen House, Shui Chuen O Estate",,1615
Sham Shui Po,Shun King Court,,1616
Tsuen Wan,"Block E, Allway Gardens",,1617
Wong Tai Sin,"Fu Shun House, Fu Shan Estate",,1618
Kowloon City,Po Sing Mansion,,1619
Kowloon City,Po Sing Mansion,,1620
Kowloon City,Po Sing Mansion,,1621
Wong Tai Sin,"Lok Shing House, Tsz Lok Estate",,1622
Kowloon City,"Tower 6, Harbour Place",,1623
Kowloon City,1 Hing Yan Street,,1624
Kowloon City,1 Hing Yan Street,,1625
Wong Tai Sin,"Ching Yi House, Tsz Ching Estate",,1626
Sham Shui Po,"Block 1, Heya Green",,1627
